username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
absolutlyN0one,memes and anime!!,Braavos,73,28,24,2017-01-28 14:26:48,2021-04-30 03:27:32,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
han_so_no,,Toronto,1161,26,1082,2016-09-19 04:03:52,2021-04-30 03:27:31,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
_iamsahil,Hi,Where My Phone is,308,93,376,2017-06-21 19:37:39,2021-04-30 03:27:23,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
harrywatkinss,I’m TheCalamari’s biggest fan,Australia,160,14,201,2017-11-20 09:31:30,2021-04-30 03:27:18,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
karansingh_005,"💻 Microsoft Learn Student Ambassador #MSFTStudentAmbassador
📱 Samsung Brand Ambassador #SamsungMembers
🏎 Formula One fan #F1 
✈ Aviation Geek","New Delhi, India",394,411,7407,2010-01-08 12:02:31,2021-04-30 03:27:18,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
murilobertini,Work in progress,,424,384,1289,2008-04-22 03:38:55,2021-04-30 03:27:15,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
NithishSileveru,"Tech, Music and @selenagomez ❤️
📱🎧🎵🎷","Hyderabad, India",683,120,10788,2017-06-15 11:35:43,2021-04-30 03:27:11,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
JulianFigueroa8,🇭🇳,Honduras,465,368,3342,2012-02-02 03:35:19,2021-04-30 03:27:08,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
ddavarma_,"""I learn then I earn""","Vishakhapatnam, India",437,84,248,2012-10-31 15:37:50,2021-04-30 03:27:07,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
PandaCapone,Systems / Applications engineer. Just looking to see a better world tomorrow.,United States,358,36,1496,2012-10-10 23:36:37,2021-04-30 03:27:00,811,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
