username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
JethiKomal,,,830,666,67019,2020-04-14 03:38:54,2021-04-30 03:53:10,4,"Special thanks to @DelhiPolice &amp; DCP Outer North Sh Rajiv Ranjan Ji, for providing adequate arrangement of vehicle to transport #OxygenCylinders to NKS Hospital during #SOS. This swift action has saved lot's of lives. 

@LtGovDelhi @CPDelhi @SanjaySingh_IPS @ssyips https://t.co/7KnHkekJ43",[]
comedibanda,Parody Account ! Fan of  @abirchiklu #Gujju .    Check out these search results: https://t.co/Da05YDX9lY,नशे मे हूँ,233,11385,272878,2015-09-17 09:15:53,2021-04-30 03:53:04,28,"#SOS #Noida #plasmadonor

Close friend father is hospitalized at Yathartha Hospital, Noida Extension. 

He urgently needs Plasma (B+)

Donor needs to be B+ blood group who recovered from COVID in last 14 days to 2 months. 

Contact numbers: 9958500718, 9821490088, 95554 66777","[{'text': 'SOS', 'indices': [18, 22]}, {'text': 'Noida', 'indices': [23, 29]}, {'text': 'plasmadonor', 'indices': [30, 42]}]"
AscendedFugue,"Grace
She/Her 
In Based Era 

INTP
Minor (16)
Violist
 Artist
Furry 
ND
 Acespec Panro
Twin: @Bowgart671 

Fander
DSMP Fan
#blacklivesmatter",Ohio satanic and chained up,2408,865,15982,2020-05-31 22:28:02,2021-04-30 03:53:03,95,"ANY LEADS IN #MUMBAI FOR #OXYGENCYLINDERS ? HAPPY TO BUY FROM YOU IF YOU’RE DONE USING IT AND GET IT REFILLED. 
CC: @sanket_invideo @shasvathi @InVideoOfficial","[{'text': 'MUMBAI', 'indices': [32, 39]}, {'text': 'OXYGENCYLINDERS', 'indices': [44, 60]}]"
MGTINSHWE,,,461,134,255,2010-06-02 08:37:50,2021-04-30 03:52:52,37,"""It has been disastrous for the country to have Narender Modi as the Prime minister"" words of a legend..: Manmohan Singh.
#ModiGovtSeNaHoPayega #RESIGN #ResignModi #IndianLivesMatter #OxygenCylinders #ModiHataoDeshBachao #PMCaresFund_का_हिसाब_दो https://t.co/7rVskxZwL1",[]
AnjaliKir,"Author of the bestselling novels 'Never say Never', 'Written in the stars' & '19 till I die'. Multi-layered, multi-talented & modest! Link below!","Amchi Mumbai, India",883,1622,3275,2009-12-09 15:39:49,2021-04-30 03:52:50,0,"Any leads? Please help, amplify, rt etc. Thanks #delhi #plasmadonor #covidhelp @rasnabhasin @janiceseq85 @srinivasiyc @tehseenp @CharuPragya @Chaiti https://t.co/yylwFo3d3s","[{'text': 'delhi', 'indices': [48, 54]}, {'text': 'plasmadonor', 'indices': [55, 67]}, {'text': 'covidhelp', 'indices': [68, 78]}]"
TannuGu82841305,tannu Gupta,"Patna, India",20,23,11104,2021-02-20 10:27:59,2021-04-30 03:52:45,36,"Please help!!!!

#COVID19
#COVIDEmergency
#CovidIndia
#Plasma
#PlasmaRequirement
#Kanpur

#IshqMeinMarjawan2
P.S. Using the show's tag as it's urgent.. please amplify https://t.co/sQ4idWzehD","[{'text': 'COVID19', 'indices': [35, 43]}, {'text': 'COVIDEmergency', 'indices': [44, 59]}, {'text': 'CovidIndia', 'indices': [60, 71]}, {'text': 'Plasma', 'indices': [72, 79]}, {'text': 'PlasmaRequirement', 'indices': [80, 98]}, {'text': 'Kanpur', 'indices': [99, 106]}, {'text': 'IshqMeinMarjawan2', 'indices': [108, 126]}]"
vermapan,"Technologist, Ex-CIO, Love Music, Politics, Satire And Life.",India,663,325,16374,2010-05-03 08:56:38,2021-04-30 03:52:41,1,"Rapid Oxygen Supply available at DoorStep for emergencies by bike rental.

Bengaluru Startup 

 Phone: 7069999961 #CovidResources  

#OxygenCylinders #Bangalore
Not Verified 🙏🙏 https://t.co/C1jLMxwr62",[]
TaniaGillz,"💯Rubi fan /Follow to get a follow back 👍/  8teen⚡✨ / Love Rashami , Sana❤️ currently supporting  @RubiDilaik in #BB14",,663,616,15422,2020-12-18 12:59:34,2021-04-30 03:52:41,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
JakharVirender,"Followed by Shri Ravi shankar prasad ji, Piyush Goyal Ji,TC Gehlot Ji, Babul Supriyo Ji, Khemchand Sharma ji & More. 

All Views r personal","New Delhi, India",846,726,15958,2016-03-02 10:33:47,2021-04-30 03:52:10,0,"Each &amp; every districts in all states should have #OxygenBank .

#OxygenCylinders https://t.co/6rkdHULPK2","[{'text': 'OxygenBank', 'indices': [53, 64]}, {'text': 'OxygenCylinders', 'indices': [68, 84]}]"
_hind_u,Har Har Mahadev,"DKI Jakarta, Indonesia",448,373,6551,2017-01-19 12:48:10,2021-04-30 03:52:03,28,"#SOS #Noida #plasmadonor

Close friend father is hospitalized at Yathartha Hospital, Noida Extension. 

He urgently needs Plasma (B+)

Donor needs to be B+ blood group who recovered from COVID in last 14 days to 2 months. 

Contact numbers: 9958500718, 9821490088, 95554 66777","[{'text': 'SOS', 'indices': [18, 22]}, {'text': 'Noida', 'indices': [23, 29]}, {'text': 'plasmadonor', 'indices': [30, 42]}]"
