username,text,hashtags
urstruly_geetha,"Oxygen Refil Centers 
Salibanda and Gelpali Refil Centre 16k per cylinder whatever the size of the cylinder they will Refil it with only 16k 
Comtact : 9177123843
Verified 10:50AM , 6/5/21
Location. Hyderabad",[]
arpitabhawal,"Can anyone please suggest the best apps that we can download that are verified and functional, to track the status of beds and hospitals etc. across India? Chennai, Bangalore, Delhi, Mumbai, Trivandrum, Cochin, Hyderabad, etc.? I want make it known to people. #NeedHelp","[{'text': 'NeedHelp', 'indices': [260, 269]}]"
BasuHussain,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified","[{'text': 'OxygenBeds', 'indices': [22, 33]}, {'text': 'Hyderabad', 'indices': [82, 92]}, {'text': 'ICUBed', 'indices': [93, 100]}]"
ProfKayos,"25 Oxygen bed available at Meher hospitals #Hyderabad 

Verified at 9:50am May 6 https://t.co/zwB0zJ54eJ","[{'text': 'Hyderabad', 'indices': [63, 73]}]"
Keerthanaaa1,"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified",[]
rfaVijayawadaa,"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp","[{'text': 'OxygenBeds', 'indices': [14, 25]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
Lokesh48317851,"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp","[{'text': 'OxygenBeds', 'indices': [14, 25]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
Sai_Twtzz,"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp","[{'text': 'OxygenBeds', 'indices': [14, 25]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
Laxmi10788135,"25 oxygen beds are available at Meher Hospital, Medchal #Hyderabad 

Contact:  8088917515
Verified

#COVID19 #CoronaSecondWave","[{'text': 'Hyderabad', 'indices': [76, 86]}, {'text': 'COVID19', 'indices': [120, 128]}]"
GPK_999,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified","[{'text': 'OxygenBeds', 'indices': [22, 33]}, {'text': 'Hyderabad', 'indices': [82, 92]}, {'text': 'ICUBed', 'indices': [93, 100]}]"
Baisakh05290395,"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 🙏
#COVIDEmergencyIndia",[]
pothineni_fan,"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp","[{'text': 'OxygenBeds', 'indices': [14, 25]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
pandu24168881,"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp","[{'text': 'OxygenBeds', 'indices': [14, 25]}, {'text': 'Hyderabad', 'indices': [39, 49]}]"
