username,resource,req,bloodgroup,contact,cities,tweet
urstruly_geetha,oxygen,UNKNOWN,NA,['9177123843'],['Hyderabad'],"Oxygen Refil Centers 
Salibanda and Gelpali Refil Centre 16k per cylinder whatever the size of the cylinder they will Refil it with only 16k 
Comtact : 9177123843
Verified 10:50AM , 6/5/21
Location. Hyderabad"
arpitabhawal,other,NEED,NA,[],"['Hyderabad', 'Bangalore', 'Mumbai', 'Delhi', 'Chennai']","Can anyone please suggest the best apps that we can download that are verified and functional, to track the status of beds and hospitals etc. across India? Chennai, Bangalore, Delhi, Mumbai, Trivandrum, Cochin, Hyderabad, etc.? I want make it known to people. #NeedHelp"
BasuHussain,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified"
ProfKayos,oxygen,AVAILABLE,NA,[],['Hyderabad'],"25 Oxygen bed available at Meher hospitals #Hyderabad 

Verified at 9:50am May 6 https://t.co/zwB0zJ54eJ"
Keerthanaaa1,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified"
rfaVijayawadaa,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"#OxygenBeds Available in #Hyderabad 

Prada Hospital Nacharam

8 Oxygen &amp; 4 ICU Beds Available 

Contact: 9177972837

Verified 6th May 11:00am ✅ 

#COVIDEmergency #Covid19IndiaHelp"
Laxmi10788135,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"25 oxygen beds are available at Meher Hospital, Medchal #Hyderabad 

Contact:  8088917515
Verified

#COVID19 #CoronaSecondWave"
Baisakh05290395,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 🙏
#COVIDEmergencyIndia"
MadanP1,oxygen,AVAILABLE,NA,"['9391458613', '8247681640']",['Hyderabad'],"#Hyderabad 

Sunridge Multi Speciality Hospital-MotiNagar,
Hyderabad 

9391458613, 8247681640

Only 3 Oxygen Beds Available , no ventilators

Verified at 11.04 AM 06/05 by @HelpingHandsJpr 

RT to amplify
@TabeenahAnjum
@theskindoctor13 
@Rajput_Ramesh"
kiran_sambangi,other,NEED,NA,[],['Hyderabad'],"Friend is in critical condition, needs to be hospitalisation. Any verified hospitals having beds in Hyderabad/Nizampet? Plz RT @dravsreddy @YaminiDiva @Mahi0x00 @telugulessaa Thanks 🙏"
MadanP1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Oxygen bed and Icu bed available at Prada hospital Nacharam #Hyderabad 

Verified 10:23am May 6 https://t.co/lWUFU7zofG"
RKrish_Naredla,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"@im_neeharika @sripaad125 @SonuSood @KTRTRS 3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified"
NoumanMohammed2,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"*Verified on 6/May/2021 9:50 AM*
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515."
itsMahi_Msd,oxygen,AVAILABLE,NA,['8125259991'],['Hyderabad'],"#5 Oxygen Beds Available at LB nagar #Hyderabad. 

Saturation level above 90%
Contact number : 8125259991
Verified 

#SOSHYD #Telangana #CoronaSecondWave #COVID19"
AllThingsTelang,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"#Verified 
#BedsAvailability
#Hyderabad
#hyderabadcovidhelp
May 6th 11:06am 
Meher hospital medchal 
25 oxygen beds available. 
Contact number: 8088917515.
@SureshProdns 
@V6_Suresh 
@MBofficialTeam 
@SVC_official 
@RRRMovie 
@MythriOfficial"
PSPKRaamu,oxygen,UNKNOWN,NA,"['9396589260', '7673929606', '7893932629', '8639042247']",['Hyderabad'],"HYDERABAD #OxygenRefilling 

Hyderabad: Techno Gas is providing refilling of oxygen cylinders. 
Chaitanya at 90728 99999.
 Verified by Rikit at 12:10 PM, on 26th Apri
Baba Gas, Jalpally, Hyderabad - Received new stock. 

9396589260, 7673929606, 7893932629, 8639042247

Verified"
manishdhfm,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Verified on 6/May/2021 10:50 AM
20 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. Could you please inform to others. Thank you 🙏
@HiHyderabad @revathitweets @swachhhyd"
,,,,,,
Ash777Ch,oxygen,UNKNOWN,NA,[],['Hyderabad'],"#OxygenEmergency #Oxygen Cylinders 55L and 47L will be stocked in two hours.

Contact information is in image. Verified at 7:14 PM on 05.05.2021

#CovidIndia #COVIDEmergencyIndia #HyderabadSOS #Hyderabad https://t.co/4haC5kDGsh"
wata13304706,oxygen,AVAILABLE,NA,['9666656328'],['Hyderabad'],"#Oxygen beds are available at Nandhini Hospital #Sainikpuri

1 Regular, 10 Oxygen &amp; 3 ICU beds were available.

Contact -  9666656328

Verified at 08:55 P.M - 05/05/2021 by someone else (forwarded lead)
 #Hyderabad

#COVID19 #COVID19India"
Imcckr,oxygen,AVAILABLE,NA,"['8978709593', '9666656328', '8125259991', '8497971166']",['Hyderabad'],"@vemuruadi @Mahi0x00 @dravsreddy @YaminiDiva @telugulessaa Try Verified Oxygen beds available at Satyam hospital. Attapur Hyderabad. 8978709593

Or

Nandhini Hospital Sainikpuri 1 Regular, 10 Oxygen &amp; 3 ICU beds were available. Contact - 9666656328

Or

Contact 8125259991 8497971166"
ajaybhartism,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors"
shrenik0911,oxygen,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Verified
Oxygen beds available 
at Satyam hospital. 
Attapur Hyderabad.
8978709593
#VerifiedCovidResources 
#BedsAvailability 
#hydcovidresources 
@RRRMovie 
@konavenkat99 
@harish2you 
@MythriOfficial 
@MBofficialTeam"
