username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
JagritiAgarwa18,2021-05-06 14:56:27,oxygen,AVAILABLE,NA,[],['Hyderabad'],ICU and Oxygen Beds available in Hyderabad (verified) https://t.co/gTkO2ruQCc
JagritiAgarwa18,2021-05-06 14:56:24,oxygen,AVAILABLE,NA,[],['Hyderabad'],Oxygen Beds available in Hyderabad (Verified) https://t.co/HulSH1P0H7
SimranM09593791,2021-05-06 14:55:58,oxygen,NEED,NA,[],['Hyderabad'],Friend needs 10 L oxygen concentrator for her father in Hyderabad. Any verified leads?
Hyderabadbot,2021-05-06 14:55:47,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Oxygen beds available in Pavithra Hospital Bowenpally.
Verified@ 8.00pm
#CovidSOS #BedsAvailability #Hyderabad"
,,,,,,,
im_ganesh96,2021-05-06 14:54:37,oxygen,AVAILABLE,NA,[],['Hyderabad'],"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith"
Anti__Congress,2021-05-06 14:54:30,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Meher Hospital, Medchal, Hyderabad at 8088917515. _ - 25 oxygen beds are available.--
 Verified 5.47pm now

@bhavnamahawar95 
@patelsoha18
@Divya_Hindu1 
@BHAKTRIOT1118
@Kanchan19873376 
@agor1312
@AT18__AT18
@daarktales 
@Doland_Baba
@FromSomalia21
@NahataSanjeev 
@RiyaCTalentDC"
_MrDhfm,2021-05-06 14:54:05,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Contact no - 9177972837 
8 OXYGEN BEDS AVAILABLE IN HYDERABAD 

 Verified  ⚡
 
#Hyderabad"
LENINK,2021-05-06 14:54:03,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 
#COVIDEmergencyIndia"
PriyaSidHeart,2021-05-06 14:53:05,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Contact no -9177972837 
OXYGEN BEDS AVAILABLE 

Again Verified at 1:55pm 6th may 
#Hyderabad  

━━━━━━━━━━━━━
#Covid19IndiaHelp  #COVIDIndiaSOS  
#COVIDEmergencyIndia https://t.co/hxPLnoH6AJ"
Ganesh72482890,2021-05-06 14:52:49,oxygen,AVAILABLE,NA,['7013160090'],['Hyderabad'],"Leaf hospital in Borabanda #Hyderabad has oxygen beds 7013160090
Verified at 6.05pm

#BedsAvailability #SOSHyd #TelanganaFightsCovid19 #COVID19"
jsp_vamsi,2021-05-06 14:51:10,ICU Bed,AVAILABLE,NA,['9885471177'],['Hyderabad'],"2 ICU Beds available at Gaman Hospital, Hyderabad 🏥

Patient's to take the covid report and Aadhar card before admitting who's spo2 is above or 85 👍🏻

NO VENTILATORS ❌

Contact : 9885471177 ☎

Personally verified at 12:25 PM 👍🏻

#COVID19India 
#Hyderabad 
#Covid19IndiaHelp"
chinns23aug,2021-05-06 14:48:19,ICU Bed,AVAILABLE,NA,[],['Hyderabad'],"@yeshwanth_soma @Vivek_Investor @gvkreddi @vivbajaj @aditya_kondawar @dmuthuk Icu bed and rooms available at Virinchi hospital #Hyderabad 

Verified at 6 May https://t.co/dMKfhQej5d"
saisrinu1122,2021-05-06 14:47:12,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Available - #OxygenBeds in #Hyderabad. 

6 Beds available in Kachiguda. 

Verified at 4:10 PM, today. 

#COVIDEmergencyIndia #Covid19IndiaHelp https://t.co/aF3mwN4eTq"
,,,,,,,
CVDResourcesBot,2021-05-06 14:40:36,oxygen,AVAILABLE,NA,"['9160019364', '8519993543']",['Hyderabad'],"@Only_Nifty And check this for beds

Citi Neuro Centre, Hyderabad 
 
9160019364

73 Beds available 
ICU - 8/Ventilator, 5 /non-ventilator 
oxygen - 30 beds 
normal - 30 beds 

Wellness Hospital, Ameerpet
phone number : 8519993543

4 beds available 
verified by @BackupBae"
ak_p53,2021-05-06 14:39:12,plasma,NEED,NA,[],['Hyderabad'],"#Verified

Emergency Plasma Requirement:
Patient name: Saraswathi
Blood Group:O+ve plasma 
Hospital Name: Srikara Hospital , Madinaguda,Hyderabad
Contact number: +91 99894 52412 Amar 

Please give Plasma and Save Life"
NithinK92304301,2021-05-06 14:37:02,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Contact no - 9177972837 
8 OXYGEN BEDS AVAILABLE IN HYDERABAD 

Again Verified 6th may ⚡⚡⚡
 
#Hyderabad"
CVDResourcesBot,2021-05-06 14:33:23,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Verified on 6/May/2021 10:50 AM
20 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. Could you please inform to others. Thank you 🙏
@HiHyderabad @revathitweets @swachhhyd"
ajay_chikkala,2021-05-06 14:23:22,oxygen,AVAILABLE,NA,['8125259991'],['Hyderabad'],"#5 Oxygen Beds Available at LB nagar #Hyderabad. 

Saturation level above 90%
Contact number : 8125259991
Verified 

#SOSHYD #Telangana #CoronaSecondWave #COVID19"
tweet2madhavi,2021-05-06 14:17:35,oxygen,AVAILABLE,NA,[],['Hyderabad'],"@yeshwanth_soma @Vivek_Investor @gvkreddi @vivbajaj @aditya_kondawar @dmuthuk Oxygen bed and Icu bed available at Prada hospital Nacharam #Hyderabad 

Verified 10:23am May 6

 #hyderabad #hyderabadcovidhelp #HyderabadSOS https://t.co/TUl733tWnx"
CVDResourcesBot,2021-05-06 14:16:32,oxygen,AVAILABLE,NA,"['9949466764', '9948542103']",['Hyderabad'],"@its_Mr_Sandeep @HiHyderabad @charan_tweetz @Purusho50189904 @vasuch1973 @VK84015570 #Hyderabad
ICU,Normal,Ventilator and Oxygen beds available at Orange Hospital, 
L.B Nagar,Hyderabad.

Contact:9949466764,9948542103

#Verified at 4PM,06/05/21."
Eshu_TBND,2021-05-06 14:14:28,oxygen,UNKNOWN,NA,['7032118594'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 70-80kgs will be stocked in about two hours.
Cash and carry.
Contact -7032118594

Verified at 7:14 PM on 05.05.2021"
ThiruMessii10,2021-05-06 14:06:44,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified"
PakaaMatt,2021-05-06 14:04:26,oxygen,AVAILABLE,NA,"['9160019364', '8519993543']",['Hyderabad'],"🚨🏥🏥🚨
Citi Neuro Centre, Hyderabad 
 
9160019364

73 Beds available 
ICU - 8/Ventilator, 5 /non-ventilator 
oxygen - 30 beds 
normal - 30 beds 

Wellness Hospital, Ameerpet
phone number : 8519993543

4 beds available 

#Verified 5.59; 6/5
#BedsAvailability
#Hyderabad https://t.co/cXSHKE16mE"
