username,tweet_date,text,hashtags
JagritiAgarwa18,2021-05-06 14:56:27,ICU and Oxygen Beds available in Hyderabad (verified) https://t.co/gTkO2ruQCc,[]
JagritiAgarwa18,2021-05-06 14:56:24,Oxygen Beds available in Hyderabad (Verified) https://t.co/HulSH1P0H7,[]
Okaykimichi,2021-05-06 14:56:16,Oxygen Beds available in Hyderabad (Verified) https://t.co/HulSH1P0H7,[]
SimranM09593791,2021-05-06 14:55:58,Friend needs 10 L oxygen concentrator for her father in Hyderabad. Any verified leads?,[]
Hyderabadbot,2021-05-06 14:55:47,"Oxygen beds available in Pavithra Hospital Bowenpally.
Verified@ 8.00pm
#CovidSOS #BedsAvailability #Hyderabad","[{'text': 'CovidSOS', 'indices': [93, 102]}, {'text': 'BedsAvailability', 'indices': [103, 120]}, {'text': 'Hyderabad', 'indices': [121, 131]}]"
ghost__emoji,2021-05-06 14:55:44,Friend needs 10 L oxygen concentrator for her father in Hyderabad. Any verified leads?,[]
HariHar05042166,2021-05-06 14:55:27,"Satyam Hospital, Attapur, Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  6.00pm now

@Kali03357193 
@Disham_90 
@ShuchiRecites 
@doubtfulLucifer 
@Anti__Congress 
@proudsanghii 
@Troll_Jivi 
@Losttt_Soul_ 
@simmi_ko 
@Jay001p",[]
Okaykimichi,2021-05-06 14:55:13,"Oxygen beds available in Pavithra Hospital Bowenpally.
Verified@ 8.00pm
#CovidSOS #BedsAvailability #Hyderabad","[{'text': 'CovidSOS', 'indices': [93, 102]}, {'text': 'BedsAvailability', 'indices': [103, 120]}, {'text': 'Hyderabad', 'indices': [121, 131]}]"
Iamcommunalyes,2021-05-06 14:54:52,"Satyam Hospital, Attapur, Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  6.00pm now

@Kali03357193 
@Disham_90 
@ShuchiRecites 
@doubtfulLucifer 
@Anti__Congress 
@proudsanghii 
@Troll_Jivi 
@Losttt_Soul_ 
@simmi_ko 
@Jay001p",[]
im_ganesh96,2021-05-06 14:54:37,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith","[{'text': 'OxygenBeds', 'indices': [17, 28]}, {'text': 'Hyderabad', 'indices': [77, 87]}, {'text': 'ICUBed', 'indices': [88, 95]}]"
kyaayaarakshay,2021-05-06 14:54:37,"Oxygen beds available in Pavithra Hospital Bowenpally.
Verified@ 8.00pm
#CovidSOS #BedsAvailability #Hyderabad","[{'text': 'CovidSOS', 'indices': [93, 102]}, {'text': 'BedsAvailability', 'indices': [103, 120]}, {'text': 'Hyderabad', 'indices': [121, 131]}]"
kyaayaarakshay,2021-05-06 14:54:35,Oxygen Beds available in Hyderabad (Verified) https://t.co/HulSH1P0H7,[]
Bhgwa2020,2021-05-06 14:54:34,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith","[{'text': 'OxygenBeds', 'indices': [17, 28]}, {'text': 'Hyderabad', 'indices': [77, 87]}, {'text': 'ICUBed', 'indices': [88, 95]}]"
Iamcommunalyes,2021-05-06 14:54:32,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith","[{'text': 'OxygenBeds', 'indices': [17, 28]}, {'text': 'Hyderabad', 'indices': [77, 87]}, {'text': 'ICUBed', 'indices': [88, 95]}]"
Anti__Congress,2021-05-06 14:54:30,"Meher Hospital, Medchal, Hyderabad at 8088917515. _ - 25 oxygen beds are available.--
 Verified 5.47pm now

@bhavnamahawar95 
@patelsoha18
@Divya_Hindu1 
@BHAKTRIOT1118
@Kanchan19873376 
@agor1312
@AT18__AT18
@daarktales 
@Doland_Baba
@FromSomalia21
@NahataSanjeev 
@RiyaCTalentDC",[]
Anti__Congress,2021-05-06 14:54:27,"Satyam Hospital, Attapur, Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  6.00pm now

@Kali03357193 
@Disham_90 
@ShuchiRecites 
@doubtfulLucifer 
@Anti__Congress 
@proudsanghii 
@Troll_Jivi 
@Losttt_Soul_ 
@simmi_ko 
@Jay001p",[]
irfansorcerer,2021-05-06 14:54:13,Friend needs 10 L oxygen concentrator for her father in Hyderabad. Any verified leads?,[]
Troll_Jivi,2021-05-06 14:54:07,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith","[{'text': 'OxygenBeds', 'indices': [17, 28]}, {'text': 'Hyderabad', 'indices': [77, 87]}, {'text': 'ICUBed', 'indices': [88, 95]}]"
_MrDhfm,2021-05-06 14:54:05,"Contact no - 9177972837 
8 OXYGEN BEDS AVAILABLE IN HYDERABAD 

 Verified  ⚡
 
#Hyderabad","[{'text': 'Hyderabad', 'indices': [100, 110]}]"
Troll_Jivi,2021-05-06 14:54:03,"Satyam Hospital, Attapur, Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  6.00pm now

@Kali03357193 
@Disham_90 
@ShuchiRecites 
@doubtfulLucifer 
@Anti__Congress 
@proudsanghii 
@Troll_Jivi 
@Losttt_Soul_ 
@simmi_ko 
@Jay001p",[]
LENINK,2021-05-06 14:54:03,"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 
#COVIDEmergencyIndia",[]
PriyaSidHeart,2021-05-06 14:53:05,"Contact no -9177972837 
OXYGEN BEDS AVAILABLE 

Again Verified at 1:55pm 6th may 
#Hyderabad  

━━━━━━━━━━━━━
#Covid19IndiaHelp  #COVIDIndiaSOS  
#COVIDEmergencyIndia https://t.co/hxPLnoH6AJ","[{'text': 'Hyderabad', 'indices': [102, 112]}]"
Ganesh72482890,2021-05-06 14:52:49,"Leaf hospital in Borabanda #Hyderabad has oxygen beds 7013160090
Verified at 6.05pm

#BedsAvailability #SOSHyd #TelanganaFightsCovid19 #COVID19","[{'text': 'Hyderabad', 'indices': [47, 57]}, {'text': 'BedsAvailability', 'indices': [105, 122]}, {'text': 'SOSHyd', 'indices': [123, 130]}]"
duskelegies,2021-05-06 14:52:08,Friend needs 10 L oxygen concentrator for her father in Hyderabad. Any verified leads?,[]
vamsi0606,2021-05-06 14:51:51,"Leaf hospital in Borabanda #Hyderabad has oxygen beds 7013160090
Verified at 6.05pm

#BedsAvailability #SOSHyd #TelanganaFightsCovid19 #COVID19","[{'text': 'Hyderabad', 'indices': [45, 55]}, {'text': 'BedsAvailability', 'indices': [103, 120]}, {'text': 'SOSHyd', 'indices': [121, 128]}]"
Manik0226,2021-05-06 14:51:42,"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246-598086 Verified at 6.10pm now
@ThappadKhaoge 
@harshasherni 
@thatcurlyfoodie 
@realMPSR 
@devilqueen_87 
@doorva207 
@Neh_hope_faith","[{'text': 'OxygenBeds', 'indices': [17, 28]}, {'text': 'Hyderabad', 'indices': [77, 87]}, {'text': 'ICUBed', 'indices': [88, 95]}]"
