username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
LalisaBP5555,2021-05-06 14:56:59,ICU Bed,AVAILABLE,NA,[],"['Bangalore', 'Mumbai']","HOME #ICU SETUPS AVAILABLE across North-India, #Mumbai, #Bangalore! 

Verified by a colleage today, 06/may! Spread for the needy! 🙏🏻

#COVID19India #coronavirus #COVIDEmergencyIndia #CovidHelp #CovidResources 

@RubinaDilaik_ @RubiHoliccs @RubiDilaikOFC @RubinaTM https://t.co/YNc8JdE32r"
Covid19Help10,2021-05-06 14:56:44,oxygen,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital."
ChirayuPanchol1,2021-05-06 14:55:09,ICU Bed,UNKNOWN,NA,[],['Bangalore'],"Any verified lead for icu bed with ventilator in Bangalore???? 

Anyone? https://t.co/4yJzUN0kVz"
irfansorcerer,2021-05-06 14:54:53,oxygen,UNKNOWN,NA,[],['Bangalore'],"*Bangalore verified* 
At 7:02 pm, 06/05/21

Oxygen Cylinder - 47L
Price: 42,600
Home delivery and installation 
+91 95131 13766

Disclaimer: point of contact verified. please do your due diligence before purchasing"
talus_boy,2021-05-06 14:54:48,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bangalore #Beds
Isolation Center at Ramamurthy Nagar (near Indian Oil petrol bunk), Bangalore 
Contact no. 9036635000

Available:
8 normal beds (similar to home quarantine facility)
No other beds and life saving equipment. 
Verified by Niranjan at 7:40 PM on 06.05/21
#COVID19"
Irreverent_KUP,2021-05-06 14:54:36,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bengalore

Normal Beds Available
Location: Isolation Centre at Ramamurthy Nagar, Near Indian Oil Petrol Bunk, Bangalore

Contact: 9036635000

VERIFIED ✔️

#COVID19India #CovidResources #CovidHelp #CovidIndiaInfo"
PmjdyMitra,2021-05-06 14:53:59,other,AVAILABLE,NA,['9738386480'],['Bangalore'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
BANGALORE
Normal Beds Available

Name: Rashad
Phone: 9738386480
Location : Columbia Asia COVID Centre, Whitefield

Last verified @ 06/05/21, 3:35 PM

#Covid19IndiaHelp #KarnatakaFightsCorona"
devikaaroraa,2021-05-06 14:53:38,ICU Bed,NEED,NA,['0997292282'],['Bangalore'],"#Urgent ICU bed required for a 68 year old in Bangalore who urgently needs ventilator support. Please share verified leads or kindly reach out to his son - Arun Thomas (Ph:09972922829)
@nikhiljoisr @covidbangalore @peakbengaluru @anusharavi10 @covidbangalore @BBMPSouthZone"
Alka08831261,2021-05-06 14:52:36,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"*Bangalore verified*
At 5:45 pm, 06/05/21
Normal beds available 
Location: Isolation centre at Ramamurthy Nagar near Indian Oil Petrol Bunk
9036635000

Disclaimer: point of contact verified. please do your due diligence before purchasing"
13Friess,2021-05-06 14:52:19,oxygen,AVAILABLE,NA,"['9036635000', '9036905000']",['Bangalore'],"@chingiiiix Bangalore
Isolation Center RM Nagar
Items available
•Hospital Bed
•Oxygen Beds
•Verified Yes
Contact 9036635000, 9036905000
Last updated May 6, 2021, 3:05 p.m"
