username,tweet_date,text,hashtags
LalisaBP5555,2021-05-06 14:56:59,"HOME #ICU SETUPS AVAILABLE across North-India, #Mumbai, #Bangalore! 

Verified by a colleage today, 06/may! Spread for the needy! 🙏🏻

#COVID19India #coronavirus #COVIDEmergencyIndia #CovidHelp #CovidResources 

@RubinaDilaik_ @RubiHoliccs @RubiDilaikOFC @RubinaTM https://t.co/YNc8JdE32r","[{'text': 'ICU', 'indices': [23, 27]}, {'text': 'Mumbai', 'indices': [65, 72]}, {'text': 'Bangalore', 'indices': [74, 84]}]"
Covid19Help10,2021-05-06 14:56:44,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [18, 28]}, {'text': 'Covidhelp', 'indices': [29, 39]}, {'text': 'IsolationBeds', 'indices': [40, 54]}]"
LBhagyalekshmi,2021-05-06 14:56:41,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [18, 28]}, {'text': 'Covidhelp', 'indices': [29, 39]}, {'text': 'IsolationBeds', 'indices': [40, 54]}]"
irfansorcerer,2021-05-06 14:56:14,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [14, 24]}, {'text': 'Covidhelp', 'indices': [25, 35]}, {'text': 'IsolationBeds', 'indices': [36, 50]}]"
kartik19shetty,2021-05-06 14:55:46,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [14, 24]}, {'text': 'Covidhelp', 'indices': [25, 35]}, {'text': 'IsolationBeds', 'indices': [36, 50]}]"
pankutiwari5,2021-05-06 14:55:17,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [0, 10]}, {'text': 'Covidhelp', 'indices': [11, 21]}, {'text': 'IsolationBeds', 'indices': [22, 36]}]"
ChirayuPanchol1,2021-05-06 14:55:09,"Any verified lead for icu bed with ventilator in Bangalore???? 

Anyone? https://t.co/4yJzUN0kVz",[]
anilrai536,2021-05-06 14:55:09,"#Bangalore #Covidhelp #IsolationBeds

7-8 non-oxygen beds available here:

Ramamurthy Nagar, near Indian Oil Petrol Bunk

9036635000

Personally verified 2 mins back.

Please note it's an ISOLATION CENTRE with support for meds/vitamins/food etc. NOT a Hospital.","[{'text': 'Bangalore', 'indices': [14, 24]}, {'text': 'Covidhelp', 'indices': [25, 35]}, {'text': 'IsolationBeds', 'indices': [36, 50]}]"
irfansorcerer,2021-05-06 14:54:53,"*Bangalore verified* 
At 7:02 pm, 06/05/21

Oxygen Cylinder - 47L
Price: 42,600
Home delivery and installation 
+91 95131 13766

Disclaimer: point of contact verified. please do your due diligence before purchasing",[]
talus_boy,2021-05-06 14:54:48,"#Bangalore #Beds
Isolation Center at Ramamurthy Nagar (near Indian Oil petrol bunk), Bangalore 
Contact no. 9036635000

Available:
8 normal beds (similar to home quarantine facility)
No other beds and life saving equipment. 
Verified by Niranjan at 7:40 PM on 06.05/21
#COVID19","[{'text': 'Bangalore', 'indices': [18, 28]}, {'text': 'Beds', 'indices': [29, 34]}]"
