username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
LalisaBP5555,2021-05-06 14:56:59,ICU Bed,AVAILABLE,NA,[],"['Bangalore', 'Mumbai']","HOME #ICU SETUPS AVAILABLE across North-India, #Mumbai, #Bangalore! 

Verified by a colleage today, 06/may! Spread for the needy! 🙏🏻

#COVID19India #coronavirus #COVIDEmergencyIndia #CovidHelp #CovidResources 

@RubinaDilaik_ @RubiHoliccs @RubiDilaikOFC @RubinaTM https://t.co/YNc8JdE32r"
RetweetsMumbai,2021-05-06 14:56:46,ICU Bed,UNKNOWN,NA,[],"['Mumbai', 'Delhi']","@avoidmepleaseee @aprrillll_ HDU Healthcare Services
https://t.co/vEqoh9Qvov

Verified!!

COVID Home Isolation/Quarantine: 10K/Day

Home ICU Setup: 
12K/Day

Operational in: 
Delhi/NCR, Mumbai/Pune/Jaipur/Chandigarh/Lucknow!!

@aprrillll_
@avoidmepleaseee https://t.co/wMyh4jklMl"
chessv6,2021-05-06 14:54:17,other,NEED,NA,[],['Mumbai'],"A friend #URGENTLY needs #bed with #Ventilator in #Mumbai 
Serious condition. 
#SosMumbai 
#mumbaisos
#VentilatorBed 
#COVID19
#COVID19India

Can someone provide verified leads please?"
Irreverent_KUP,2021-05-06 14:54:13,oxygen,AVAILABLE,NA,['8080833354'],['Mumbai'],"Verified&gt;&gt; both oxygen and icu beds are available :,-) 
2 ICU beds, 10 oxygen beds, 10 normal beds available 
Veena Multi Specialty Hospital, Andheri, Mumbai

Contact - 8080833354"
Aatish96793154,2021-05-06 14:49:47,oxygen,AVAILABLE,NA,['9892344222'],['Mumbai'],"Oxygen Beds Available in Mumbai 
Name: Jeeto Covid Care Centre.
Location: Janta Nagar BMC School, Tradev, Mumbai.
Availability: 27 Oxygen Beds
Contact: 9892344222
Verified on 5th May, 2021 at 4:51 pm
@bot_assist"
Sandeep331998,2021-05-06 14:46:47,oxygen,AVAILABLE,NA,"['7977703913', '9819298666']",['Mumbai'],"#Oxygen #cylinders available at MUMBAI GOREGAON-West

Contact: VEER Foundation
Name: Dhaval Sanhvi/Nishith Shah

 7977703913/9819298666

Location: Gundecha Aradhna Bhawan, Plot No 92/93, road no-5, Jawahar nagar, Goregaon 
#Verified at 2:45 PM, 6th May
#OxygenCylinders 
#Mumbai"
Sandeep331998,2021-05-06 14:46:41,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","#Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

#Verified 
 #Covid19IndiaHelp #COVIDIndiaSOS
#Mumbai
#Thane"
ThisIsFatima_,2021-05-06 14:46:15,oxygen,AVAILABLE,NA,['7021362766'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI / PAN INDIA
Oxygen Cans (20L) Available   
 Home delivery available

Name: Ishan Lodaria
Phone: 7021362766
Location: Mumbai

Last Verified @ 06/05/2021, 3:58 PM

#oxygencans #Covid19IndiaHelp"
Pratyushpanda,2021-05-06 14:41:51,oxygen,AVAILABLE,NA,['8169415636'],['Mumbai'],"SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist"
RetweetsMumbai,2021-05-06 14:41:45,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Delhi', 'Chennai']","@_SSRFan @104_GoTN Use this bot for Beds, Oxygen, #Plasma in any city. Latest verified numbers.

Just send ‘COVID’ to initiate.

https://t.co/1zJ44gQZQ3

CovidHelp PlasmaDonors Oxygen HospitalBeds Delhi Mumbai Chennai"
AiyyubPatel,2021-05-06 14:40:33,oxygen,AVAILABLE,NA,[],['Mumbai'],#COVID19 #ICUBeds #Oxygen #BedsAvailability #COVIDEmergency2021 #COVIDSecondWave #Ambulance we have started Covid relief task force for South #Mumbai those in need may avail the service to connect with verified resource providers https://t.co/qMsoDLBNmu
Aatish96793154,2021-05-06 14:40:29,oxygen,AVAILABLE,NA,['8169415636'],['Mumbai'],"#Verified 
SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist"
