username,tweet_date,text,hashtags
LalisaBP5555,2021-05-06 14:56:59,"HOME #ICU SETUPS AVAILABLE across North-India, #Mumbai, #Bangalore! 

Verified by a colleage today, 06/may! Spread for the needy! 🙏🏻

#COVID19India #coronavirus #COVIDEmergencyIndia #CovidHelp #CovidResources 

@RubinaDilaik_ @RubiHoliccs @RubiDilaikOFC @RubinaTM https://t.co/YNc8JdE32r","[{'text': 'ICU', 'indices': [23, 27]}, {'text': 'Mumbai', 'indices': [65, 72]}, {'text': 'Bangalore', 'indices': [74, 84]}]"
RetweetsMumbai,2021-05-06 14:56:46,"@avoidmepleaseee @aprrillll_ HDU Healthcare Services
https://t.co/vEqoh9Qvov

Verified!!

COVID Home Isolation/Quarantine: 10K/Day

Home ICU Setup: 
12K/Day

Operational in: 
Delhi/NCR, Mumbai/Pune/Jaipur/Chandigarh/Lucknow!!

@aprrillll_
@avoidmepleaseee https://t.co/wMyh4jklMl",[]
chessv6,2021-05-06 14:54:17,"A friend #URGENTLY needs #bed with #Ventilator in #Mumbai 
Serious condition. 
#SosMumbai 
#mumbaisos
#VentilatorBed 
#COVID19
#COVID19India

Can someone provide verified leads please?","[{'text': 'URGENTLY', 'indices': [9, 18]}, {'text': 'bed', 'indices': [25, 29]}, {'text': 'Ventilator', 'indices': [35, 46]}, {'text': 'Mumbai', 'indices': [50, 57]}, {'text': 'SosMumbai', 'indices': [79, 89]}, {'text': 'mumbaisos', 'indices': [91, 101]}, {'text': 'VentilatorBed', 'indices': [102, 116]}, {'text': 'COVID19', 'indices': [118, 126]}, {'text': 'COVID19India', 'indices': [127, 140]}]"
Irreverent_KUP,2021-05-06 14:54:13,"Verified&gt;&gt; both oxygen and icu beds are available :,-) 
2 ICU beds, 10 oxygen beds, 10 normal beds available 
Veena Multi Specialty Hospital, Andheri, Mumbai

Contact - 8080833354",[]
KaranRa15513946,2021-05-06 14:53:47,"Verified&gt;&gt; both oxygen and icu beds are available :,-) 
2 ICU beds, 10 oxygen beds, 10 normal beds available 
Veena Multi Specialty Hospital, Andheri, Mumbai

Contact - 8080833354",[]
Aatish96793154,2021-05-06 14:49:47,"Oxygen Beds Available in Mumbai 
Name: Jeeto Covid Care Centre.
Location: Janta Nagar BMC School, Tradev, Mumbai.
Availability: 27 Oxygen Beds
Contact: 9892344222
Verified on 5th May, 2021 at 4:51 pm
@bot_assist",[]
Pratyushpanda,2021-05-06 14:48:45,"Oxygen Beds Available in Mumbai 
Name: Jeeto Covid Care Centre.
Location: Janta Nagar BMC School, Tradev, Mumbai.
Availability: 27 Oxygen Beds
Contact: 9892344222
Verified on 5th May, 2021 at 4:51 pm
@bot_assist",[]
Sandeep331998,2021-05-06 14:46:47,"#Oxygen #cylinders available at MUMBAI GOREGAON-West

Contact: VEER Foundation
Name: Dhaval Sanhvi/Nishith Shah

 7977703913/9819298666

Location: Gundecha Aradhna Bhawan, Plot No 92/93, road no-5, Jawahar nagar, Goregaon 
#Verified at 2:45 PM, 6th May
#OxygenCylinders 
#Mumbai","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'cylinders', 'indices': [27, 37]}]"
Sandeep331998,2021-05-06 14:46:41,"#Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

#Verified 
 #Covid19IndiaHelp #COVIDIndiaSOS
#Mumbai
#Thane","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'Verified', 'indices': [104, 113]}, {'text': 'Covid19IndiaHelp', 'indices': [116, 133]}]"
ThisIsFatima_,2021-05-06 14:46:15,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI / PAN INDIA
Oxygen Cans (20L) Available   
 Home delivery available

Name: Ishan Lodaria
Phone: 7021362766
Location: Mumbai

Last Verified @ 06/05/2021, 3:58 PM

#oxygencans #Covid19IndiaHelp",[]
Pratyushpanda,2021-05-06 14:41:51,"SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist",[]
RetweetsMumbai,2021-05-06 14:41:45,"@_SSRFan @104_GoTN Use this bot for Beds, Oxygen, #Plasma in any city. Latest verified numbers.

Just send ‘COVID’ to initiate.

https://t.co/1zJ44gQZQ3

CovidHelp PlasmaDonors Oxygen HospitalBeds Delhi Mumbai Chennai","[{'text': 'Plasma', 'indices': [50, 57]}]"
AiyyubPatel,2021-05-06 14:40:33,#COVID19 #ICUBeds #Oxygen #BedsAvailability #COVIDEmergency2021 #COVIDSecondWave #Ambulance we have started Covid relief task force for South #Mumbai those in need may avail the service to connect with verified resource providers https://t.co/qMsoDLBNmu,"[{'text': 'COVID19', 'indices': [13, 21]}, {'text': 'ICUBeds', 'indices': [22, 30]}, {'text': 'Oxygen', 'indices': [31, 38]}, {'text': 'BedsAvailability', 'indices': [39, 56]}, {'text': 'COVIDEmergency2021', 'indices': [57, 76]}, {'text': 'COVIDSecondWave', 'indices': [77, 93]}, {'text': 'Ambulance', 'indices': [94, 104]}]"
Aatish96793154,2021-05-06 14:40:29,"#Verified 
SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist","[{'text': 'Verified', 'indices': [19, 28]}]"
asmallpart,2021-05-06 14:37:37,"HOME #ICU SETUPS AVAILABLE across North-India, #Mumbai, #Bangalore! 

Verified by a colleage today, 06/may! Spread for the needy! 🙏🏻

#COVID19India #coronavirus #COVIDEmergencyIndia #CovidHelp #CovidResources 

@RubinaDilaik_ @RubiHoliccs @RubiDilaikOFC @RubinaTM https://t.co/YNc8JdE32r","[{'text': 'ICU', 'indices': [23, 27]}, {'text': 'Mumbai', 'indices': [65, 72]}, {'text': 'Bangalore', 'indices': [74, 84]}]"
CVDResourcesBot,2021-05-06 14:37:31,"#Verified 
SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist","[{'text': 'Verified', 'indices': [19, 28]}]"
Pratyushpanda,2021-05-06 14:37:25,"#Verified 
SOUTH MUMBAI / DADAR
Oxygen Cylinders Available
Name: Rohit
Phone: 8169415636
Location: Shree T.A.K.L. Jain Gyan Mandir 
trust, 6 gyan mandir road, opp. 
Sunshine heights, Dadar West, 
Mumbai-400028
Last verified @ 05/05/21, 5:10pm
@bot_assist","[{'text': 'Verified', 'indices': [0, 9]}]"
CVDResourcesBot,2021-05-06 14:36:58,"#Verified
SOUTH MUMBAI

Oxygen cylinders are available.
Name - Shuaib Khatib

Phone - 9833708378
Location - Janjikar Street, Mumbai-400002
Last verified @ 5/5/21 5:06 pm

#CovidHelp #CovidResources #COVIDEmergency2021 #MahaCovid 
#Mumbai #OxygenCylinders","[{'text': 'Verified', 'indices': [20, 29]}]"
DN98390534,2021-05-06 14:36:53,"#Verified
SOUTH MUMBAI

Oxygen cylinders are available.
Name - Shuaib Khatib

Phone - 9833708378
Location - Janjikar Street, Mumbai-400002
Last verified @ 5/5/21 5:06 pm

#CovidHelp #CovidResources #COVIDEmergency2021 #MahaCovid 
#Mumbai #OxygenCylinders","[{'text': 'Verified', 'indices': [20, 29]}]"
shalini84616530,2021-05-06 14:34:39,"This is a source of #oxygen leadsai as of today, verified personally by an intern in my team.

Cities: #Pune, #Delhi, #Mumbai, #Kolkata #Lucknow

I'll try to share a verified list everyday 
 #COVID19India https://t.co/MEXuGFK3P4","[{'text': 'oxygen', 'indices': [40, 47]}, {'text': 'Pune', 'indices': [123, 128]}, {'text': 'Delhi', 'indices': [130, 136]}]"
CVDResourcesBot,2021-05-06 14:33:19,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
Mumbai Colaba

Oxygen cylinders available

Red crescent society of india
( 8000 deposit and 6000 will be returned once you return the cylinder) 
Contact-7738410577
Address- G1, sushil building, A B road, colaba, mumbai-400005

Last verified @ 6/5/21 01:04 PM",[]
