username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
SehrishLone,2021-05-06 14:57:38,oxygen,UNKNOWN,NA,[],['Delhi'],"Oxygen cans in delhi NCR
Price:- ₹800 (10litre can)
Self verified at 20:20 on 06/05
Dm for details, please amplify"
Mannequin_Nia,2021-05-06 14:57:35,other,AVAILABLE,NA,[],['Delhi'],"Emergency beds available in #Delhi

Register yourself through google link:-

https://t.co/Ei3vjdfGfk

Venue: Deen Dayal Upadhyay College, Azad Hind Fauz Marg, Phase 1, Sector 3, Dwarka, New Delhi - 110078
#CovidResources 
#CovidIndiaInfo
Verified✅✅ https://t.co/hxEDsd9tDf"
risingsurbhi,2021-05-06 14:57:34,oxygen,AVAILABLE,NA,[],['Delhi'],"Oxygen cans available in #DelhiNCR 
Location - Dwarka, Delhi 
Contact- 70115 49539
 
Verified by someone at 8:05pm, 6th May
#COVIDSecondWaveInIndia #COVIDEmergencyIndia #Covid19IndiaHelp #DelhiFightsCorona"
srsricha,2021-05-06 14:57:30,ICU Bed,UNKNOWN,NA,[],['Delhi'],"Still no help. Please amplify and help. Please call on this number if you have any verified leads for icu beds across Delhi NCR : +91 92050 24970, +91 94305 11511 🆘 #sosdelhi #CovidHelp 
@ArvindKejriwal @msisodia @raghav_chadha @GautamGambhir https://t.co/Q8udQOG50j"
Delhiite_,2021-05-06 14:57:26,oxygen,AVAILABLE,NA,['9711367008'],['Delhi'],"Oxygen concentrator available at Delhi
Contact 9711367008
Price 55,000 + GST
Self Verified by on 6 May 15:25"
Pagal_Aadmiii,2021-05-06 14:57:07,oxygen,UNKNOWN,NA,[],['Delhi'],"Ambulance without oxygen
72910 00078
Verified at 4:00 
Delhi, Gurgaon, Faridabad

Via tele"
GVD6JA,2021-05-06 14:56:55,oxygen,NEED,NA,[],['Delhi'],"Guys, my friend's father needs an oxygen cylinder or concentrator on rent in Palam, Delhi

Please only share leads you've benefitted from or verified personally, no WhatsApp or twitter forwards

#OxygenCrisis #Oxygen #urgent #delhioxygen"
_Codiyapa,2021-05-06 14:56:47,ICU Bed,AVAILABLE,NA,[],['Delhi'],"ICU bed availability in Delhi patient is serious trying since morNing 
Please share some genuine and verified lead 
#DelhiSOS"
RetweetsMumbai,2021-05-06 14:56:46,ICU Bed,UNKNOWN,NA,[],"['Mumbai', 'Delhi']","@avoidmepleaseee @aprrillll_ HDU Healthcare Services
https://t.co/vEqoh9Qvov

Verified!!

COVID Home Isolation/Quarantine: 10K/Day

Home ICU Setup: 
12K/Day

Operational in: 
Delhi/NCR, Mumbai/Pune/Jaipur/Chandigarh/Lucknow!!

@aprrillll_
@avoidmepleaseee https://t.co/wMyh4jklMl"
risingsurbhi,2021-05-06 14:56:27,ICU Bed,AVAILABLE,NA,['9811494085'],['Delhi'],"9811494085 sushila hospital, narela simple beds and icu beds available
Verified by someone at 2:50 pm 6 may 2021 

#covid #BedsAvailability
#Beds #Delhi #Verified #covidbeds #AMPLIFY"
sircasticsindhi,2021-05-06 14:56:24,other,AVAILABLE,NA,['9667097114'],['Delhi'],"9667097114
Maharaja Agarsen Hospital, Delhi
3 normal beds available.
Verified at 2:35 Pm, 6may.
#COVIDSecondWave #Covid19IndiaHelp  #IndiaFightsCoronaVirus"
JagritiAgarwa18,2021-05-06 14:56:21,oxygen,AVAILABLE,NA,[],['Delhi'],12L Oxygen Cans available in Delhi (Verified) https://t.co/GuRNo2CCMy
Irreverent_KUP,2021-05-06 14:56:02,oxygen,AVAILABLE,NA,['0112665595'],['Delhi'],"//✅
*Verified oxygen beds lead*

Location- DRDO SVP Covid centre, DELHI

SERVICE AVAILABLE- OXYGEN BEDS FOR CRITICAL COVID PATIENTS (O2 level above 85)

CONTACT- +91/01126655959

verified at 20:15 on 06/05

#BedsAvailability #bed #COVIDSecondWave #COVID19 #Beds #AMPLIFY"
