username,tweet_date,text,hashtags
SehrishLone,2021-05-06 14:57:38,"Oxygen cans in delhi NCR
Price:- ₹800 (10litre can)
Self verified at 20:20 on 06/05
Dm for details, please amplify",[]
Mannequin_Nia,2021-05-06 14:57:35,"Emergency beds available in #Delhi

Register yourself through google link:-

https://t.co/Ei3vjdfGfk

Venue: Deen Dayal Upadhyay College, Azad Hind Fauz Marg, Phase 1, Sector 3, Dwarka, New Delhi - 110078
#CovidResources 
#CovidIndiaInfo
Verified✅✅ https://t.co/hxEDsd9tDf","[{'text': 'Delhi', 'indices': [44, 50]}]"
risingsurbhi,2021-05-06 14:57:34,"Oxygen cans available in #DelhiNCR 
Location - Dwarka, Delhi 
Contact- 70115 49539
 
Verified by someone at 8:05pm, 6th May
#COVIDSecondWaveInIndia #COVIDEmergencyIndia #Covid19IndiaHelp #DelhiFightsCorona","[{'text': 'DelhiNCR', 'indices': [25, 34]}, {'text': 'COVIDSecondWaveInIndia', 'indices': [124, 147]}, {'text': 'COVIDEmergencyIndia', 'indices': [148, 168]}, {'text': 'Covid19IndiaHelp', 'indices': [169, 186]}, {'text': 'DelhiFightsCorona', 'indices': [187, 205]}]"
srsricha,2021-05-06 14:57:30,"Still no help. Please amplify and help. Please call on this number if you have any verified leads for icu beds across Delhi NCR : +91 92050 24970, +91 94305 11511 🆘 #sosdelhi #CovidHelp 
@ArvindKejriwal @msisodia @raghav_chadha @GautamGambhir https://t.co/Q8udQOG50j",[]
Delhiite_,2021-05-06 14:57:26,"Oxygen concentrator available at Delhi
Contact 9711367008
Price 55,000 + GST
Self Verified by on 6 May 15:25",[]
Pagal_Aadmiii,2021-05-06 14:57:07,"Ambulance without oxygen
72910 00078
Verified at 4:00 
Delhi, Gurgaon, Faridabad

Via tele",[]
GVD6JA,2021-05-06 14:56:55,"Guys, my friend's father needs an oxygen cylinder or concentrator on rent in Palam, Delhi

Please only share leads you've benefitted from or verified personally, no WhatsApp or twitter forwards

#OxygenCrisis #Oxygen #urgent #delhioxygen",[]
_Codiyapa,2021-05-06 14:56:47,"ICU bed availability in Delhi patient is serious trying since morNing 
Please share some genuine and verified lead 
#DelhiSOS","[{'text': 'DelhiSOS', 'indices': [131, 140]}]"
RetweetsMumbai,2021-05-06 14:56:46,"@avoidmepleaseee @aprrillll_ HDU Healthcare Services
https://t.co/vEqoh9Qvov

Verified!!

COVID Home Isolation/Quarantine: 10K/Day

Home ICU Setup: 
12K/Day

Operational in: 
Delhi/NCR, Mumbai/Pune/Jaipur/Chandigarh/Lucknow!!

@aprrillll_
@avoidmepleaseee https://t.co/wMyh4jklMl",[]
risingsurbhi,2021-05-06 14:56:27,"9811494085 sushila hospital, narela simple beds and icu beds available
Verified by someone at 2:50 pm 6 may 2021 

#covid #BedsAvailability
#Beds #Delhi #Verified #covidbeds #AMPLIFY","[{'text': 'covid', 'indices': [133, 139]}]"
sircasticsindhi,2021-05-06 14:56:24,"9667097114
Maharaja Agarsen Hospital, Delhi
3 normal beds available.
Verified at 2:35 Pm, 6may.
#COVIDSecondWave #Covid19IndiaHelp  #IndiaFightsCoronaVirus","[{'text': 'COVIDSecondWave', 'indices': [114, 130]}]"
JagritiAgarwa18,2021-05-06 14:56:21,12L Oxygen Cans available in Delhi (Verified) https://t.co/GuRNo2CCMy,[]
zeesiddiqu,2021-05-06 14:56:20,"Oxygen concentrator available at Delhi
Contact 9711367008
Price 55,000 + GST
Self Verified by on 6 May 15:25",[]
Irreverent_KUP,2021-05-06 14:56:02,"//✅
*Verified oxygen beds lead*

Location- DRDO SVP Covid centre, DELHI

SERVICE AVAILABLE- OXYGEN BEDS FOR CRITICAL COVID PATIENTS (O2 level above 85)

CONTACT- +91/01126655959

verified at 20:15 on 06/05

#BedsAvailability #bed #COVIDSecondWave #COVID19 #Beds #AMPLIFY",[]
tanuuuxx,2021-05-06 14:56:00,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
Delhi
Oxygen cylinders 
Name: Monu kumar
Phone: 8178877352
Location: Ballabhgarh
Last Verified @ 06/05/21, 6:54 PM
#Covid19IndiaHelp #Gurugram",[]
