username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
Sandeep331998,2021-05-06 14:46:41,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","#Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

#Verified 
 #Covid19IndiaHelp #COVIDIndiaSOS
#Mumbai
#Thane"
whynot__me_,2021-05-06 13:26:25,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai"
rvrkj,2021-05-06 12:57:32,other,AVAILABLE,NA,[],"['Delhi', 'Thane']","Hospital Bed Availability

Verified✅

Retweet for max reach.
#CovidHelpOnline

Gurgaon
https://t.co/sfyDMp38XE

Delhi
https://t.co/7AyeRMsWtp

Thane
https://t.co/ZMKuMUDTFt

Bengaluru
https://t.co/ANT0j2ytBf

Andhra Pradesh
https://t.co/rcFQirAWGj"
Lokalwala3,2021-05-06 12:02:22,oxygen,AVAILABLE,NA,['7718859939'],"['Mumbai', 'Thane']","ICU Beds Available in Thane

Hospital Name: Star Healthcare
Area: Thane
Availability: 4 ICU beds and 8 general beds, O2 available
Contact:  7718859939/+91 90049 68714

Verified on 6th May, 2021 at 2:00 PM

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai"
mamtaRa628,2021-05-06 10:55:06,oxygen,AVAILABLE,NA,['919769842024'],"['Mumbai', 'Thane']","#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)"
amanduhbuynes,2021-05-06 10:54:37,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Thane']","Provide oxygen Cylinders supplies all over Mumbai &amp; Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 Covid19IndiaHelp  COVIDIndiaSOS 
COVIDEmergencyIndia 
#Thane https://t.co/HzmeUEmM2q"
Asimsquad137,2021-05-06 10:25:44,oxygen,AVAILABLE,NA,[],"['Mumbai', 'Thane']","#Mumbai oxygen Cyclinders Available!!

Provide oxygen supplies all over mumbai and Thane..

Contact: +91 90825 97161

Personally verified 5/5/2021 17: 18 uk time) (7mins ago)

#Mumbai #OxygenCylinder #COVID19India #COVIDEmergencyIndia https://t.co/Bpq60DYDMa"
Simranjeet_kk,2021-05-06 09:37:41,plasma,UNKNOWN,NA,[],"['Thane', 'Nashik']","#Plasma Nashik Pune Thane 
Please don’t pay advance 
Verified indiacovid 
Pune-Nashik-Thane Plasma Donation Details - Updated as of 29th April Noon IST (see image)
LetsDoMore COVID19 Covid19IndiaHelp 
#PuneFightsCorona #CovidWarrior 
#PlasmaDonors
━━━━━━━━━━━━━
🦠 😷 https://t.co/sII47g4VPS"
OfficialEoni,2021-05-06 09:06:12,oxygen,AVAILABLE,NA,['919769842024'],"['Mumbai', 'Thane']","#Oxygen #ICU #Beds #Mumbai #Thane

*Oxygen and ICU Beds Available in #Thane
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

*Verified at 6th May, 2021 at 12:30 PM*
#COVID19 #CovidHelp"
monu_di,2021-05-06 06:41:18,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Thane']","Provide oxygen Cylinders supplies all over #Mumbai &amp; #Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#COVIDEmergencyIndia https://t.co/mL7eUC9iUL"
Simranjeet_kk,2021-05-06 06:09:07,plasma,NEED,NA,[],"['Mumbai', 'Thane']","‼️ URGENT ‼️

A+ Plasma needed in Navi Mumbai 

Please reply with verified leads and RT to amplify. 

#COVID19 #COVIDEmergency2021 #navimumbai #mumbai #thane #plasma #plasmadonor #donor #plasmadonation https://t.co/s8lwOTh7gd"
shy_teddy_tales,2021-05-06 05:45:42,oxygen,AVAILABLE,NA,[],"['Mumbai', 'Thane']","#covidinfoindia
Mumbai oxygen Cyclinders Available!!

Provide oxygen supplies all over mumbai and Thane..

Contact: +91 90825 97161

Personally verified 5/5/2021 17: 18 uk time) (7mins ago)

Mumbai OxygenCylinder COVID19India COVIDEmergencyIndia 
#Thane #Mumbai"
p_mamta03,2021-05-06 02:51:37,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Thane']","Provide oxygen Cylinders supplies all over #Mumbai &amp; #Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#COVIDEmergencyIndia https://t.co/QoZ9r8Md9J"
sinhaprash,2021-05-06 02:02:42,oxygen,AVAILABLE,NA,['919769842024'],['Thane'],"Oxygen and ICU Beds Available in Thane
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU beds with BiPAP ventilator support
Contact: +919769842024
Verified at 5th May, 2021 at 11:11 am
#CovidResources #CovidHelp #OxygenBeds #ICUBeds
#COVIDEmergency2021"
sujata101986gm1,2021-05-05 21:01:53,oxygen,AVAILABLE,NA,[],"['Mumbai', 'Thane']","Mumbai oxygen Cyclinders Available!!

Provide oxygen supplies all over mumbai and Thane..

Contact: +91 90825 97161

Verified 5/5/2021 ,Telegram sources! 

#MumbaiCovid #CovidHelp 
#COVIDEmergencyIndia #COVID19 

Rt♻️ Share Max!"
Fightforbadser1,2021-05-05 18:34:26,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","Thane Mumbai 

Oxygen cylinder in Thane/Mumbai: 9082597161

Can arrange cylinders in Mumbai/Thane area

Verified at 6:50 pm on 3.5.2021 

HelpWarriors
#Thane

━━━━━━━━━━━━━
🏥 @Oxygen"
alooparathas,2021-05-05 18:31:39,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Thane']","OXYGEN CYLINDERS in Mumbai, Thane &amp; Pune, Verified on 5th May (THREAD)"
RetweetsMumbai,2021-05-05 15:28:24,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","#Thane #Mumbai 

#Oxygen cylinder in Thane/Mumbai: 9082597161

Can arrange cylinders in Mumbai/Thane area

Verified at 6:50 pm on 3.5.2021 

#HelpWarriors"
RetweetsMumbai,2021-05-05 15:12:51,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","@MorgannFreakman @bainjal @TMCaTweetAway @srinivasiyc @AUThackeray @zeeshan_iyc #Thane #Mumbai 

#Oxygen cylinder in Thane/Mumbai: 9082597161

Can arrange cylinders in Mumbai/Thane area

Verified at 6:50 pm on 3.5.2021 

#HelpWarriors"
