username,tweet_date,text,hashtags
Sandeep331998,2021-05-06 14:46:41,"#Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

#Verified 
 #Covid19IndiaHelp #COVIDIndiaSOS
#Mumbai
#Thane","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'Verified', 'indices': [104, 113]}, {'text': 'Covid19IndiaHelp', 'indices': [116, 133]}]"
whynot__me_,2021-05-06 13:26:25,"Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai","[{'text': 'Covid19IndiaHelp', 'indices': [118, 135]}]"
rvrkj,2021-05-06 12:57:32,"Hospital Bed Availability

Verified✅

Retweet for max reach.
#CovidHelpOnline

Gurgaon
https://t.co/sfyDMp38XE

Delhi
https://t.co/7AyeRMsWtp

Thane
https://t.co/ZMKuMUDTFt

Bengaluru
https://t.co/ANT0j2ytBf

Andhra Pradesh
https://t.co/rcFQirAWGj","[{'text': 'CovidHelpOnline', 'indices': [61, 77]}]"
Lokalwala3,2021-05-06 12:02:22,"ICU Beds Available in Thane

Hospital Name: Star Healthcare
Area: Thane
Availability: 4 ICU beds and 8 general beds, O2 available
Contact:  7718859939/+91 90049 68714

Verified on 6th May, 2021 at 2:00 PM

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai",[]
mamtaRa628,2021-05-06 10:55:06,"#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'ICU', 'indices': [27, 31]}, {'text': 'Beds', 'indices': [32, 37]}, {'text': 'Mumbai', 'indices': [38, 45]}, {'text': 'Thane', 'indices': [46, 52]}, {'text': 'COVIDRELIEF', 'indices': [53, 65]}, {'text': 'Thane', 'indices': [100, 106]}, {'text': 'Mumbai', 'indices': [107, 114]}]"
amanduhbuynes,2021-05-06 10:54:37,"Provide oxygen Cylinders supplies all over Mumbai &amp; Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 Covid19IndiaHelp  COVIDIndiaSOS 
COVIDEmergencyIndia 
#Thane https://t.co/HzmeUEmM2q",[]
YuvaShaktiIND,2021-05-06 10:45:47,"#Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

#Verified 
 #Covid19IndiaHelp #COVIDIndiaSOS
#Mumbai
#Thane","[{'text': 'Oxygen', 'indices': [0, 7]}, {'text': 'Verified', 'indices': [85, 94]}, {'text': 'Covid19IndiaHelp', 'indices': [97, 114]}, {'text': 'COVIDIndiaSOS', 'indices': [115, 129]}, {'text': 'Mumbai', 'indices': [130, 137]}, {'text': 'Thane', 'indices': [138, 144]}]"
NasreenCh1,2021-05-06 10:30:25,"Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai","[{'text': 'Covid19IndiaHelp', 'indices': [118, 135]}]"
Asimsquad137,2021-05-06 10:25:44,"#Mumbai oxygen Cyclinders Available!!

Provide oxygen supplies all over mumbai and Thane..

Contact: +91 90825 97161

Personally verified 5/5/2021 17: 18 uk time) (7mins ago)

#Mumbai #OxygenCylinder #COVID19India #COVIDEmergencyIndia https://t.co/Bpq60DYDMa","[{'text': 'Mumbai', 'indices': [21, 28]}]"
__taniya_,2021-05-06 09:56:07,"Provide oxygen Cylinders supplies all over Mumbai &amp; Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 Covid19IndiaHelp  COVIDIndiaSOS 
COVIDEmergencyIndia 
#Thane https://t.co/HzmeUEmM2q",[]
Lisha75917783,2021-05-06 09:53:37,"#Mumbai oxygen Cyclinders Available!!

Provide oxygen supplies all over mumbai and Thane..

Contact: +91 90825 97161

Personally verified 5/5/2021 17: 18 uk time) (7mins ago)

#Mumbai #OxygenCylinder #COVID19India #COVIDEmergencyIndia https://t.co/Bpq60DYDMa","[{'text': 'Mumbai', 'indices': [21, 28]}]"
Simranjeet_kk,2021-05-06 09:37:41,"#Plasma Nashik Pune Thane 
Please don’t pay advance 
Verified indiacovid 
Pune-Nashik-Thane Plasma Donation Details - Updated as of 29th April Noon IST (see image)
LetsDoMore COVID19 Covid19IndiaHelp 
#PuneFightsCorona #CovidWarrior 
#PlasmaDonors
━━━━━━━━━━━━━
🦠 😷 https://t.co/sII47g4VPS","[{'text': 'Plasma', 'indices': [19, 26]}]"
Anujalankar9,2021-05-06 09:31:55,"#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'ICU', 'indices': [27, 31]}, {'text': 'Beds', 'indices': [32, 37]}, {'text': 'Mumbai', 'indices': [38, 45]}, {'text': 'Thane', 'indices': [46, 52]}, {'text': 'COVIDRELIEF', 'indices': [53, 65]}, {'text': 'Thane', 'indices': [100, 106]}, {'text': 'Mumbai', 'indices': [107, 114]}]"
harshikaa18,2021-05-06 09:25:01,"Provide oxygen Cylinders supplies all over Mumbai &amp; Thane..

Contact: +91 90825 97161

Verified 5/May, 11:49 PM Indian Time 
━━━━━━━━━━━━━ 
 Covid19IndiaHelp  COVIDIndiaSOS 
COVIDEmergencyIndia 
#Thane https://t.co/HzmeUEmM2q",[]
OfficialEoni,2021-05-06 09:06:12,"#Oxygen #ICU #Beds #Mumbai #Thane

*Oxygen and ICU Beds Available in #Thane
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

*Verified at 6th May, 2021 at 12:30 PM*
#COVID19 #CovidHelp","[{'text': 'Oxygen', 'indices': [18, 25]}, {'text': 'ICU', 'indices': [26, 30]}, {'text': 'Beds', 'indices': [31, 36]}, {'text': 'Mumbai', 'indices': [37, 44]}, {'text': 'Thane', 'indices': [45, 51]}, {'text': 'Thane', 'indices': [87, 93]}]"
iThatMatter,2021-05-06 09:03:22,"ICU Beds Available in Thane

Hospital Name: Star Healthcare
Area: Thane
Availability: 4 ICU beds and 8 general beds, O2 available
Contact:  7718859939/+91 90049 68714

Verified on 6th May, 2021 at 2:00 PM

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai",[]
RetweetsMumbai,2021-05-06 09:02:15,"#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'ICU', 'indices': [27, 31]}, {'text': 'Beds', 'indices': [32, 37]}, {'text': 'Mumbai', 'indices': [38, 45]}, {'text': 'Thane', 'indices': [46, 52]}, {'text': 'COVIDRELIEF', 'indices': [53, 65]}, {'text': 'Thane', 'indices': [100, 106]}, {'text': 'Mumbai', 'indices': [107, 114]}]"
resource_botIN,2021-05-06 08:59:14,"#Oxygen #ICU #Beds #Mumbai #Thane

*Oxygen and ICU Beds Available in #Thane
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

*Verified at 6th May, 2021 at 12:30 PM*
#COVID19 #CovidHelp","[{'text': 'Oxygen', 'indices': [18, 25]}, {'text': 'ICU', 'indices': [26, 30]}, {'text': 'Beds', 'indices': [31, 36]}, {'text': 'Mumbai', 'indices': [37, 44]}, {'text': 'Thane', 'indices': [45, 51]}, {'text': 'Thane', 'indices': [87, 93]}]"
resource_botIN,2021-05-06 08:58:12,"#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'ICU', 'indices': [27, 31]}, {'text': 'Beds', 'indices': [32, 37]}, {'text': 'Mumbai', 'indices': [38, 45]}, {'text': 'Thane', 'indices': [46, 52]}, {'text': 'COVIDRELIEF', 'indices': [53, 65]}, {'text': 'Thane', 'indices': [100, 106]}, {'text': 'Mumbai', 'indices': [107, 114]}]"
KAPILIANPoonamK,2021-05-06 08:57:34,"#Oxygen #ICU #Beds #Mumbai #Thane #COVIDRELIEF

Oxygen and ICU Beds Available in #Thane #Mumbai
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

#Verified at 6th May, 12:30 (forwarded lead)","[{'text': 'Oxygen', 'indices': [19, 26]}, {'text': 'ICU', 'indices': [27, 31]}, {'text': 'Beds', 'indices': [32, 37]}, {'text': 'Mumbai', 'indices': [38, 45]}, {'text': 'Thane', 'indices': [46, 52]}, {'text': 'COVIDRELIEF', 'indices': [53, 65]}, {'text': 'Thane', 'indices': [100, 106]}, {'text': 'Mumbai', 'indices': [107, 114]}]"
KAPILIANPoonamK,2021-05-06 08:57:17,"#Oxygen #ICU #Beds #Mumbai #Thane

*Oxygen and ICU Beds Available in #Thane
Name: Rohini Hospital
Area: Thane West
Availability: 6 Oxygen Beds and 2 ICU
beds with BiPAP ventilator support
Contact: +919769842024

*Verified at 6th May, 2021 at 12:30 PM*
#COVID19 #CovidHelp","[{'text': 'Oxygen', 'indices': [18, 25]}, {'text': 'ICU', 'indices': [26, 30]}, {'text': 'Beds', 'indices': [31, 36]}, {'text': 'Mumbai', 'indices': [37, 44]}, {'text': 'Thane', 'indices': [45, 51]}, {'text': 'Thane', 'indices': [87, 93]}]"
yehdoriyaaan,2021-05-06 08:48:45,"Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai","[{'text': 'Covid19IndiaHelp', 'indices': [118, 135]}]"
Mannequin_Nia,2021-05-06 08:47:54,"Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai","[{'text': 'Covid19IndiaHelp', 'indices': [118, 135]}]"
projectjeevan,2021-05-06 08:47:53,"ICU Beds Available in Thane

Hospital Name: Star Healthcare
Area: Thane
Availability: 4 ICU beds and 8 general beds, O2 available
Contact:  7718859939/+91 90049 68714

Verified on 6th May, 2021 at 2:00 PM

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai","[{'text': 'OxygenEmergency', 'indices': [206, 222]}, {'text': 'OxygenBedsMumbai', 'indices': [223, 240]}, {'text': 'CovidAidMumbai', 'indices': [241, 256]}]"
QueenJasmin17,2021-05-06 08:47:19,"Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai","[{'text': 'Covid19IndiaHelp', 'indices': [118, 135]}]"
