username,tweet_date,text,hashtags
Iamnishagiri,2021-05-06 14:57:30,"@i_astagfirullah Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified","[{'text': 'Verified', 'indices': [139, 148]}]"
Iamnishagiri,2021-05-06 14:57:14,"@notadeadsoul Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified","[{'text': 'Verified', 'indices': [136, 145]}]"
Pagal_Aadmiii,2021-05-06 14:57:04,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
AatmaNirbhar_0_,2021-05-06 14:56:50,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Iamnishagiri,2021-05-06 14:56:33,"@Ankit098764 @SonuSood @SoodFoundation Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified","[{'text': 'Verified', 'indices': [161, 170]}]"
_Codiyapa,2021-05-06 14:56:24,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
findthecolors,2021-05-06 14:56:22,"@Abhijeet199411 Some good people are posting about availability of plasma in Nagpur:

- https://t.co/Jv0owzeHJu 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏",[]
PyaaraHathi,2021-05-06 14:55:21,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
VGDcruze,2021-05-06 14:55:02,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝

NAGPUR

30 Oxygen Beds, 30 ICU beds, 5 ventilator beds available

Contact no: 8412030400 
Location: Hope hospital, Teka Naka, Kamptee road, Nagpur
Last Verified @ 05/05/21, 11:02 AM

#NagpurSOS #BedsAvailable #OxygenBeds #VentilatorBeds",[]
Deepika_0410,2021-05-06 14:54:02,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Neeti46092440,2021-05-06 14:53:46,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Character__More,2021-05-06 14:53:17,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
779sGuri,2021-05-06 14:53:16,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
VaishaliJadon,2021-05-06 14:51:45,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
universesrini,2021-05-06 14:50:08,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Bunny08953507,2021-05-06 14:48:25,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
athuzhaisree,2021-05-06 14:47:19,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
subhamkumarsi12,2021-05-06 14:47:19,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
kyakarumarjaun,2021-05-06 14:47:05,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
ajeetkmishra,2021-05-06 14:42:30,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Kishore4Mahesh3,2021-05-06 14:41:19,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
am_ur_Dopamine,2021-05-06 14:40:42,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
ladkipagalhai,2021-05-06 14:39:56,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
navin301,2021-05-06 14:38:58,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Meghalu2004,2021-05-06 14:38:31,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
DammnGirll,2021-05-06 14:38:11,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
Rajpoothu,2021-05-06 14:37:53,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
toxicxhands_,2021-05-06 14:37:34,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
joshivyankat26,2021-05-06 14:37:14,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
ChiragGahlaut,2021-05-06 14:36:58,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
ftw_veda,2021-05-06 14:36:30,Need Urgent Verified Ventilator Bed in Nagpur. Please Retweet.,[]
sidissmile,2021-05-06 14:36:10,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
lostboys54,2021-05-06 14:36:02,"Beds Available: (Oxygen Beds And CPAP Available )

Location: Jattewar Sabhagruh, Nagpur 

Contact: 8669645294,8669645295

#Verified",[]
