username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
charmingssr,2021-05-06 14:53:58,ICU Bed,NEED,NA,[],['Chennai'],"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN"
Gauts101,2021-05-06 14:51:38,ICU Bed,UNKNOWN,NA,[],['Chennai'],‼️‼️ PLS DROP VERIFIED ICU BED/VENTILATOR LEADS IN CHENNAI‼️‼️
findthecolors,2021-05-06 14:51:08,oxygen,AVAILABLE,['O \n-'],[],['Chennai'],"@Carpe_diem_me There are people who are making calls and checking for availability of bed, oxygen in Chennai:

- https://t.co/dyQJ9NJcCO 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏"
dream100more,2021-05-06 14:45:57,ICU Bed,NEED,NA,[],['Chennai'],"@kumar856 Need ICU facility in Chennai .. #Verified 

Padur/Kelambakkam/Chengelpet

Urgently needed !!"
donutsforlunch,2021-05-06 14:44:22,other,UNKNOWN,NA,"['8072287701', '0984016352']",['Chennai'],"Verified on 6th May

#Chennai
#HospitalBeds

1) Call 8072287701 (Mr. Sai Muthu Kumar) and give them the details, they'll confirm a bed accordingly.

2) New life Hospital - 09840163528 (based on patient details)"
dream100more,2021-05-06 14:43:24,ICU Bed,NEED,NA,[],['Chennai'],"@AKarthikTweets @104_GoTN Need ICU facility in Chennai .. #Verified 

Padur/Kelambakkam/Chengelpet

Urgently needed !!"
RetweetsMumbai,2021-05-06 14:41:45,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Delhi', 'Chennai']","@_SSRFan @104_GoTN Use this bot for Beds, Oxygen, #Plasma in any city. Latest verified numbers.

Just send ‘COVID’ to initiate.

https://t.co/1zJ44gQZQ3

CovidHelp PlasmaDonors Oxygen HospitalBeds Delhi Mumbai Chennai"
iamitbhandarri,2021-05-06 14:33:14,oxygen,NEED,NA,[],['Chennai'],"SOS
Chennai Peeps
OXYGEN CYLINDER required
verified leads
#COVIDSecondWave #CovidHelp #CovidSOS #CovidIndia #COVIDSecondWaveInIndia #CovidHelpOnline #Covid #covidchennai #Chennai #SOSchennai https://t.co/FXdNpJyKC5"
findthecolors,2021-05-06 14:29:09,oxygen,AVAILABLE,NA,[],['Chennai'],"@prakash_aravind Please look here for people posting about availability of oxygen in Chennai:

- https://t.co/GocxwVMYGh 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏"
Covid19Help10,2021-05-06 14:26:12,oxygen,UNKNOWN,NA,"['9986966909', '6304495317']","['Bangalore', 'Mumbai', 'Delhi', 'Nagpur', 'Chennai']","VERIFIED #Oxygen LEAD
#Bangalore #Delhi #DelhiNCR
#Chennai #Mumbai #Jaipur #Chandigarh #Pune #Nagpur
#Ajmer #Lucknow #Jodhpur #Mysore #Vijayvada #Vizag
Other cities delievery within 30 hrs.
9986966909, 6304495317 (Ashish)
@HelplinePunjab @Prateek_Rishi @mohitgupta1962"
findthecolors,2021-05-06 14:21:24,other,AVAILABLE,NA,[],['Chennai'],"@I_Pradeep_7 People might be posting here about availability of bed, ventilator in Chennai:

- https://t.co/FPLvLrR52p 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏"
KabilanNataraj5,2021-05-06 14:13:45,oxygen,NEED,NA,[],['Chennai'],"In need of ventilator beds with oxygen supply anywhere in Chennai. Patient is in critical condition.
GH or Private, anything is fine.
If you know any leads, kindly help 🙏🏻
#Verified"
Tamilankalyan,2021-05-06 14:09:43,oxygen,NEED,NA,[],['Chennai'],Need a Oxygen Concentrator at Chennai Egmore immediately. Trusted and verified leads only
findthecolors,2021-05-06 14:06:23,oxygen,AVAILABLE,['O \n-'],[],['Chennai'],"@sndrishya Some good people are posting about availability of bed, oxygen in Chennai:

- https://t.co/dyQJ9NJcCO 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏"
