username,tweet_date,text,hashtags
charmingssr,2021-05-06 14:53:58,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
Snehal52956572,2021-05-06 14:53:24,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
Gauts101,2021-05-06 14:51:38,‼️‼️ PLS DROP VERIFIED ICU BED/VENTILATOR LEADS IN CHENNAI‼️‼️,[]
findthecolors,2021-05-06 14:51:08,"@Carpe_diem_me There are people who are making calls and checking for availability of bed, oxygen in Chennai:

- https://t.co/dyQJ9NJcCO 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏",[]
Nagendr01514258,2021-05-06 14:50:29,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
dream100more,2021-05-06 14:45:57,"@kumar856 Need ICU facility in Chennai .. #Verified 

Padur/Kelambakkam/Chengelpet

Urgently needed !!","[{'text': 'Verified', 'indices': [42, 51]}]"
blacksheep_119,2021-05-06 14:45:54,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
donutsforlunch,2021-05-06 14:44:22,"Verified on 6th May

#Chennai
#HospitalBeds

1) Call 8072287701 (Mr. Sai Muthu Kumar) and give them the details, they'll confirm a bed accordingly.

2) New life Hospital - 09840163528 (based on patient details)","[{'text': 'Chennai', 'indices': [39, 47]}, {'text': 'HospitalBeds', 'indices': [48, 61]}]"
dream100more,2021-05-06 14:43:24,"@AKarthikTweets @104_GoTN Need ICU facility in Chennai .. #Verified 

Padur/Kelambakkam/Chengelpet

Urgently needed !!","[{'text': 'Verified', 'indices': [58, 67]}]"
RetweetsMumbai,2021-05-06 14:41:45,"@_SSRFan @104_GoTN Use this bot for Beds, Oxygen, #Plasma in any city. Latest verified numbers.

Just send ‘COVID’ to initiate.

https://t.co/1zJ44gQZQ3

CovidHelp PlasmaDonors Oxygen HospitalBeds Delhi Mumbai Chennai","[{'text': 'Plasma', 'indices': [50, 57]}]"
PeachIcedTeaa,2021-05-06 14:41:31,‼️‼️ PLS DROP VERIFIED ICU BED/VENTILATOR LEADS IN CHENNAI‼️‼️,[]
ts_gopi,2021-05-06 14:40:00,"Verified on 6th May

#Chennai
#HospitalBeds

1) Call 8072287701 (Mr. Sai Muthu Kumar) and give them the details, they'll confirm a bed accordingly.

2) New life Hospital - 09840163528 (based on patient details)","[{'text': 'Chennai', 'indices': [39, 47]}, {'text': 'HospitalBeds', 'indices': [48, 61]}]"
RoliYad73130282,2021-05-06 14:38:02,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
JuInAWonderland,2021-05-06 14:35:10,‼️‼️ PLS DROP VERIFIED ICU BED/VENTILATOR LEADS IN CHENNAI‼️‼️,[]
iamitbhandarri,2021-05-06 14:33:14,"SOS
Chennai Peeps
OXYGEN CYLINDER required
verified leads
#COVIDSecondWave #CovidHelp #CovidSOS #CovidIndia #COVIDSecondWaveInIndia #CovidHelpOnline #Covid #covidchennai #Chennai #SOSchennai https://t.co/FXdNpJyKC5","[{'text': 'COVIDSecondWave', 'indices': [74, 90]}, {'text': 'CovidHelp', 'indices': [91, 101]}, {'text': 'CovidSOS', 'indices': [102, 111]}, {'text': 'CovidIndia', 'indices': [112, 123]}]"
SaravanaRaja555,2021-05-06 14:31:44,"SOS
Chennai Peeps
OXYGEN CYLINDER required
verified leads
#COVIDSecondWave #CovidHelp #CovidSOS #CovidIndia #COVIDSecondWaveInIndia #CovidHelpOnline #Covid #covidchennai #Chennai #SOSchennai https://t.co/FXdNpJyKC5","[{'text': 'COVIDSecondWave', 'indices': [74, 90]}, {'text': 'CovidHelp', 'indices': [91, 101]}, {'text': 'CovidSOS', 'indices': [102, 111]}, {'text': 'CovidIndia', 'indices': [112, 123]}]"
keesain99,2021-05-06 14:30:18,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
BumpAhead,2021-05-06 14:29:44,‼️‼️ PLS DROP VERIFIED ICU BED/VENTILATOR LEADS IN CHENNAI‼️‼️,[]
ImSiddarth,2021-05-06 14:29:32,"SOS
Chennai Peeps
OXYGEN CYLINDER required
verified leads
#COVIDSecondWave #CovidHelp #CovidSOS #CovidIndia #COVIDSecondWaveInIndia #CovidHelpOnline #Covid #covidchennai #Chennai #SOSchennai https://t.co/FXdNpJyKC5","[{'text': 'COVIDSecondWave', 'indices': [58, 74]}, {'text': 'CovidHelp', 'indices': [75, 85]}, {'text': 'CovidSOS', 'indices': [86, 95]}, {'text': 'CovidIndia', 'indices': [96, 107]}, {'text': 'COVIDSecondWaveInIndia', 'indices': [108, 131]}, {'text': 'CovidHelpOnline', 'indices': [132, 148]}, {'text': 'Covid', 'indices': [149, 155]}, {'text': 'covidchennai', 'indices': [156, 169]}, {'text': 'Chennai', 'indices': [170, 178]}, {'text': 'SOSchennai', 'indices': [179, 190]}]"
findthecolors,2021-05-06 14:29:09,"@prakash_aravind Please look here for people posting about availability of oxygen in Chennai:

- https://t.co/GocxwVMYGh 
- https://t.co/D5RfoSdwCs

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏",[]
GargiChowdhur12,2021-05-06 14:26:29,"Hi, need ICU facility in Chennai for a COVID patient # verified , preferably near Kelambakkam and Changelpet..

@104_GoTN 
@ApurvaU21 
@nilotpalm3 

#BedsForTN",[]
Covid19Help10,2021-05-06 14:26:12,"VERIFIED #Oxygen LEAD
#Bangalore #Delhi #DelhiNCR
#Chennai #Mumbai #Jaipur #Chandigarh #Pune #Nagpur
#Ajmer #Lucknow #Jodhpur #Mysore #Vijayvada #Vizag
Other cities delievery within 30 hrs.
9986966909, 6304495317 (Ashish)
@HelplinePunjab @Prateek_Rishi @mohitgupta1962","[{'text': 'Oxygen', 'indices': [28, 35]}, {'text': 'Bangalore', 'indices': [41, 51]}, {'text': 'Delhi', 'indices': [52, 58]}, {'text': 'DelhiNCR', 'indices': [59, 68]}, {'text': 'Chennai', 'indices': [69, 77]}, {'text': 'Mumbai', 'indices': [78, 85]}, {'text': 'Jaipur', 'indices': [86, 93]}, {'text': 'Chandigarh', 'indices': [94, 105]}, {'text': 'Pune', 'indices': [106, 111]}, {'text': 'Nagpur', 'indices': [112, 119]}, {'text': 'Ajmer', 'indices': [120, 126]}, {'text': 'Lucknow', 'indices': [127, 135]}]"
VineetT15164553,2021-05-06 14:26:10,"VERIFIED #Oxygen LEAD
#Bangalore #Delhi #DelhiNCR
#Chennai #Mumbai #Jaipur #Chandigarh #Pune #Nagpur
#Ajmer #Lucknow #Jodhpur #Mysore #Vijayvada #Vizag
Other cities delievery within 30 hrs.
9986966909, 6304495317 (Ashish)
@HelplinePunjab @Prateek_Rishi @mohitgupta1962","[{'text': 'Oxygen', 'indices': [28, 35]}, {'text': 'Bangalore', 'indices': [41, 51]}, {'text': 'Delhi', 'indices': [52, 58]}, {'text': 'DelhiNCR', 'indices': [59, 68]}, {'text': 'Chennai', 'indices': [69, 77]}, {'text': 'Mumbai', 'indices': [78, 85]}, {'text': 'Jaipur', 'indices': [86, 93]}, {'text': 'Chandigarh', 'indices': [94, 105]}, {'text': 'Pune', 'indices': [106, 111]}, {'text': 'Nagpur', 'indices': [112, 119]}, {'text': 'Ajmer', 'indices': [120, 126]}, {'text': 'Lucknow', 'indices': [127, 135]}]"
