username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
Simranjeet_kk,2021-05-06 09:37:41,plasma,UNKNOWN,NA,[],"['Thane', 'Nashik']","#Plasma Nashik Pune Thane 
Please don’t pay advance 
Verified indiacovid 
Pune-Nashik-Thane Plasma Donation Details - Updated as of 29th April Noon IST (see image)
LetsDoMore COVID19 Covid19IndiaHelp 
#PuneFightsCorona #CovidWarrior 
#PlasmaDonors
━━━━━━━━━━━━━
🦠 😷 https://t.co/sII47g4VPS"
AlwaysMmader,2021-05-06 08:28:29,ICU Bed,UNKNOWN,NA,[],"['Bangalore', 'Mumbai', 'Delhi', 'Nagpur', 'Nashik']","HOME ICU (Mumbai, Pune, Nashik, Nagpur, Baroda, Delhi, Surat  Bangalore) Register yourself. 17K per day+ GST. 10 days package. Verified by me on April 28, 2021 at 14:14. @AshwiniDodani @Shayoneespeaks @TheOneHimanshu #CovidIndia #COVIDEmergency2021 

https://t.co/VLKJ3hmOSp"""
biharcovidbot,2021-05-06 05:43:34,oxygen,AVAILABLE,NA,"['9472232389', '9028266021', '8169230209']","['Delhi', 'Nagpur', 'Nashik']","Third Wave of COVID19 in India Bihar Patna Nashik Nagpur Delhi Available in 2-3days Verified Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur"
biharcovidbot,2021-05-06 05:38:33,oxygen,AVAILABLE,NA,"['9472232389', '9028266021', '8169230209']","['Delhi', 'Nagpur', 'Nashik']","#covidinfoindia
Oxygen:
COVID19 Verified Bihar Patna Nashik Nagpur Delhi Available in 2-3days Oxygen Cylinders Ventilators ICUs equipments in Hospitals Oxygen Concentrators Machine Oxygen Beds 9472232389 9028266021 8169230209
#Nagpur"
nashik_feed,2021-05-06 05:22:27,oxygen,NEED,NA,"['9960448762', '9860769740']",['Nashik'],"#veryurgentneedventilatorbed
Patients name: Morade Motiram Morade
Age70
Corona status: nerlikar hs.
Ct score 16
Oxygen saturation96
moblie no.9960448762/9860769740
Requirement: immediately, vantilator bed at Nashik
#verified
06.05.2021 #sonusoodfoundation"
Saurrabhinc,2021-05-06 02:22:19,oxygen,AVAILABLE,NA,"['9472232389', '9028266021', '8169230209']","['Delhi', 'Nagpur', 'Nashik']","Third Wave of #COVID19 in India
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days #Verified

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup"
FLine_warrior,2021-05-06 02:02:15,oxygen,AVAILABLE,NA,"['9472232389', '9028266021', '8169230209']","['Delhi', 'Nagpur', 'Nashik']","#COVID19 #Verified
#Bihar #Patna #Nashik #Nagpur #Delhi

Available in 2-3days

Oxygen Cylinders
Ventilators
ICUs equipments in Hospitals
Oxygen Concentrators Machine
Oxygen Beds

9472232389 @Saurrabhinc
9028266021 @nargunduandhra
8169230209 @WaghGTSLgroup"
MahaCovid_,2021-05-05 11:50:21,plasma,NEED,NA,['9730977007'],['Nashik'],"@MahaCovid_ @verified Need urgent  plasma donor  O Positive and Remedesivir Injection for patient at Nashik.
Do we get any help?
#maha Covid
#mahacovid 
#SOSNashik
#SOSNasik

Contact # Prakash 9730977007"
MahaCovid_,2021-05-05 11:50:19,plasma,NEED,NA,['9730977007'],['Nashik'],"@MahaCovid_ @verified Need urgent  plasma donor  O Positive and Remedesivir Injection for patient at Nashik.
Do we get any help?
#maha Covid
#mahacovid 

Contact # Prakash 9730977007"
CVDResourcesBot,2021-05-05 05:30:03,oxygen,AVAILABLE,NA,['9922089271'],['Nashik'],"Verified at 5:29pm on 4/05/21
Oxygen Refilling Available in Nashik Maharashtra 
 
 Yash Udyog 
 Contact Number: 9922089271
 arrange cylinder by yourself

Subject to Availability depends on demand

#COVIDEmergencyIndia 
Rt 🔁"
