username,tweet_date,text,hashtags,id
boobookittie2,2021-05-09 01:17:39,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [105, 115]}]",1391200662436782080
AmanMeh84675213,2021-05-09 01:14:39,"20 oxygen beds available In #Hyderabad 
Padmaja Hospital : 7981771821.

Verified by our Volunteer 
Amplify kindly
@TajinderBagga @CharuPragya @RubikaLiyaquat @Abhiemanyu @upma23 @AskAnshul @ashokepandit @amarprasadreddy @iSinghApurva 

#TeamFightAgainstCovid","[{'text': 'Hyderabad', 'indices': [41, 51]}]",1391199906971324416
KishorePrabhala,2021-05-09 01:14:33,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [105, 115]}]",1391199879477665797
pradeepbandaj1,2021-05-09 01:09:32,"20 oxygen beds available In #Hyderabad 
Padmaja Hospital : 7981771821.

Verified by our Volunteer 
Amplify kindly
@TajinderBagga @CharuPragya @RubikaLiyaquat @Abhiemanyu @upma23 @AskAnshul @ashokepandit @amarprasadreddy @iSinghApurva 

#TeamFightAgainstCovid","[{'text': 'Hyderabad', 'indices': [41, 51]}]",1391198617965191169
WithPrabhas,2021-05-09 01:08:51,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391198447252824064
Karthik94037251,2021-05-09 01:06:04,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391197746380435459
irevanth_gsv,2021-05-09 01:05:24,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391197577815547905
Sandeep87393412,2021-05-09 01:03:50,"Hello everyone, One of friend relative is looking for a ventilator bed in Hyderabad. SPO2 levels are fluctuating between 77-81%. Please let me know if you have any verified contacts Thanks",[],1391197182502400002
Rakitarakian,2021-05-09 01:03:23,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391197072657850368
ursrajareddy,2021-05-09 00:59:44,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻 @deepaksomisetty 

#Hyderabad 
#Covid19IndiaHelp  
#COVID19",[],1391196152968613889
